species,strat_n_pos,strat_n_neg,strat_n_unique_groups,strat_auc_mean,strat_auc_std,strat_f1_mean,strat_f1_std,strat_p_mean,strat_r_mean,strat_n_folds_used,strat_median_train_groups,strat_median_test_groups,group_n_pos,group_n_neg,group_n_unique_groups,group_auc_mean,group_auc_std,group_f1_mean,group_f1_std,group_p_mean,group_r_mean,group_n_folds_used,group_median_train_groups,group_median_test_groups,auc_delta_strat_minus_group
Minke whale,1094,6135,66,0.9927994251361323,0.0004895769734936879,0.8815240072308079,0.010099227579807388,0.8699916881260492,0.8939550081689077,5,65,55,1094,6135,66,0.9632165128311373,0.018266117936462833,0.790437803040997,0.044554668984812515,0.7861844603223913,0.8090081216671071,3,52,14,0.02958291230499499
Sperm whale,1968,6135,66,0.9434067307582887,0.0040306059525732265,0.7480871633936743,0.011600760565022026,0.8339233551753725,0.6788649074540498,5,66,55,1968,6135,66,0.7145175711048585,0.1471129119525244,0.3931012831400153,0.18960097843163798,0.5700262716132889,0.3176231084952927,5,53,13,0.22888915965343026
False killer whale,1442,6135,66,0.9902851275463924,0.0027875058549624004,0.8856443987390182,0.013717115256018323,0.9253670075938791,0.8495338331410995,5,65,55,1442,6135,66,0.8248594765087726,0.2188812668675045,0.6125766677233659,0.29083884111662806,0.6740126429935747,0.5875994710239212,5,52,14,0.16542565103761986
Short-finned pilot whale,1054,6135,66,0.9740615618971104,0.0025635716922088703,0.7943896489019351,0.019191200091602342,0.8983596559843816,0.7125073346874295,5,65,55,1054,6135,66,0.7825910768259441,0.12469485681887786,0.35302450164746685,0.18257473764742296,0.5078220912452978,0.34125769639850045,5,53,13,0.19147048507116626
Rough-toothed dolphin,246,6135,66,0.9928843870066363,0.0034283436760885206,0.7221550525019337,0.019238833210838396,0.884200140944327,0.6135510204081633,5,64,55,246,6135,66,0.33811279121074206,0.12266923395613719,0.006734006734006735,0.009523323652344075,0.08333333333333333,0.0035087719298245615,3,53,13,0.6547715957958942
Offshore spotted dolphin,266,6135,66,0.9689385176414438,0.011907375604013582,0.5737176380592397,0.05423731127957583,0.9033559705715903,0.4245981830887491,5,64,54,266,6135,66,0.3811718202107627,0.15307278103036884,0.0044444444444444444,0.008888888888888889,0.021052631578947368,0.0024844720496894407,5,53,13,0.5877666974306811
Striped dolphin,371,6135,66,0.9738456794202517,0.008144136039119237,0.6028501354001189,0.09599187331727259,0.8586489479512736,0.4690450450450451,5,65,55,371,6135,66,0.6860860218884772,0.22639175172379533,0.2816245719178082,0.35093825789223,0.4373667377398721,0.2644098360655738,4,53,13,0.28775965753177446
