species,lr_raw_mean,lr_raw_std,lr_z_mean,lr_z_std,lr_rank_mean,lr_rank_std,within_day_auc_mean,delta_z_minus_raw,delta_rank_minus_raw,n_folds
Minke whale,0.9632165128311373,0.018266117936462833,0.670515537475273,0.03486960353711909,0.5891135448800657,0.03356317391118804,0.671835357351767,-0.29270097535586426,-0.37410296795107156,3
Sperm whale,0.7145175711048585,0.1471129119525244,0.592048586213639,0.05932886555725822,0.5639281208566354,0.05327500410623741,0.6147391763557013,-0.12246898489121949,-0.15058945024822312,5
False killer whale,0.8248594765087726,0.2188812668675045,0.6597959265205309,0.1333914397478419,0.6056436237198166,0.11318286926116516,0.7933144634690165,-0.1650635499882417,-0.21921585278895594,5
Short-finned pilot whale,0.7825910768259441,0.12469485681887786,0.6534878415470253,0.12115577977012756,0.6693023708287296,0.10497107148868645,0.7681499948672307,-0.12910323527891876,-0.11328870599721452,5
Rough-toothed dolphin,0.33811279121074206,0.12266923395613719,0.5245719278186277,0.04460781808457028,0.5674972715152325,0.06278317442963305,0.6299424840621036,0.18645913660788566,0.2293844803044905,3
Offshore spotted dolphin,0.3811718202107627,0.15307278103036884,0.5117700457047152,0.2824844149919995,0.5642810751901566,0.2721288219207639,0.5056508663489969,0.1305982254939525,0.1831092549793939,5
Striped dolphin,0.6860860218884772,0.22639175172379533,0.6630151374783695,0.14464833561737175,0.6518562911249184,0.09448560815083758,0.6352854065044248,-0.02307088441010774,-0.03422973076355884,4
