N,recall_mean,recall_std,fp_h_mean,n_seeds
10,0.29766637856525496,0.036211150002311246,10.089578713968958,5
30,0.3372515125324114,0.022316797289431273,10.065631929046564,5
100,0.3884183232497839,0.030907790144972858,10.089578713968958,5
300,0.39602420051858256,0.022952119313327142,9.929933481152995,5
1000,0.4364736387208297,0.0,10.017738359201775,5
all,0.4364736387208297,,10.017738359201775,1
