Recall,FP_h,TP,FP,evaluator,theta,N,seed,pctl
0.4874675885911841,45.09977827050998,564,1130,eval_at,0.0640794150531292,10,0,50.0
0.49178910976663787,45.05986696230599,569,1129,eval_at,0.08502260208129879,10,0,50.5
0.49351771823681934,44.86031042128604,571,1124,eval_at,0.10537857413291939,10,0,51.0
0.4943820224719101,45.13968957871397,572,1131,eval_at,0.12326241731643682,10,0,51.5
0.49524632670700086,45.37915742793792,573,1137,eval_at,0.1454234284162521,10,0,52.0
0.4995678478824546,45.05986696230599,578,1129,eval_at,0.1671763028949505,10,0,52.5
0.5021607605877269,44.46119733924613,581,1114,eval_at,0.1883760003745559,10,0,53.0
0.5038893690579084,44.101995565410206,583,1105,eval_at,0.210532233864069,10,0,53.5
0.5073465859982714,44.06208425720621,587,1104,eval_at,0.22893880695104613,10,0,54.0
0.5090751944684528,43.70288248337029,589,1095,eval_at,0.24903572224080578,10,0,54.5
0.5099394987035436,43.6629711751663,590,1094,eval_at,0.26866719424724583,10,0,55.0
0.5090751944684528,43.423503325942356,589,1088,eval_at,0.28888033881783504,10,0,55.5
0.5090751944684528,43.18403547671841,589,1082,eval_at,0.31266218185424804,10,0,56.0
0.5099394987035436,43.18403547671841,590,1082,eval_at,0.3325340372323986,10,0,56.5
0.5099394987035436,42.94456762749446,590,1076,eval_at,0.35377461552619915,10,0,57.0
0.5116681071737251,42.86474501108648,592,1074,eval_at,0.37599620893597596,10,0,57.5
0.5108038029386344,43.104212860310426,591,1080,eval_at,0.3996204435825342,10,0,58.0
0.5177182368193605,42.824833702882486,599,1073,eval_at,0.4215405985712999,10,0,58.5
0.5151253241140882,42.465631929046566,596,1064,eval_at,0.44776299357414245,10,0,59.0
0.5142610198789974,42.305986696230605,595,1060,eval_at,0.4728517293930052,10,0,59.5
0.5116681071737251,41.946784922394684,592,1051,eval_at,0.5003839969635009,10,0,60.0
0.5116681071737251,42.106430155210646,592,1055,eval_at,0.5227027890086174,10,0,60.5
0.5133967156439067,41.707317073170735,594,1045,eval_at,0.5422166448831558,10,0,61.0
0.5133967156439067,41.587583148558764,594,1042,eval_at,0.5700395819544792,10,0,61.5
0.5133967156439067,41.388026607538805,594,1037,eval_at,0.5926671552658082,10,0,62.0
0.5142610198789974,41.18847006651885,595,1032,eval_at,0.6173166930675507,10,0,62.5
0.5133967156439067,41.308203991130824,594,1035,eval_at,0.6433302909135818,10,0,63.0
0.5185825410544511,41.028824833702885,600,1028,eval_at,0.6669586879014974,10,0,63.5
0.5177182368193605,40.909090909090914,599,1025,eval_at,0.692806887626648,10,0,64.0
0.5185825410544511,40.909090909090914,600,1025,eval_at,0.7169757333397865,10,0,64.5
0.5194468452895419,40.54988913525499,601,1016,eval_at,0.741105973720551,10,0,65.0
0.5194468452895419,39.991130820399114,601,1002,eval_at,0.7660296362638473,10,0,65.5
0.5220397579948142,39.75166297117517,604,996,eval_at,0.792535469532013,10,0,66.0
0.5229040622299049,38.99334811529934,605,977,eval_at,0.8215417724847793,10,0,66.5
0.5237683664649957,38.51441241685144,606,965,eval_at,0.8483282494544984,10,0,67.0
0.5211754537597234,37.83592017738359,603,948,eval_at,0.8774404764175416,10,0,67.5
0.5229040622299049,37.23725055432373,605,933,eval_at,0.9050523686409,10,0,68.0
0.5229040622299049,36.55875831485588,605,916,eval_at,0.933322780430318,10,0,68.5
0.5237683664649957,36.43902439024391,606,913,eval_at,0.9642750835418696,10,0,69.0
0.5220397579948142,35.96008869179601,604,901,eval_at,0.9959020668268197,10,0,69.5
0.5168539325842697,35.80044345898005,598,897,eval_at,1.0255342841148374,10,0,70.0
0.5142610198789974,35.5609756097561,595,891,eval_at,1.0577460920810697,10,0,70.5
0.5125324114088159,35.00221729490023,593,877,eval_at,1.092403047084807,10,0,71.0
0.5133967156439067,34.72283813747229,594,870,eval_at,1.1269448339939117,10,0,71.5
0.5064822817631807,34.243902439024396,586,858,eval_at,1.1649450731277466,10,0,72.0
0.5073465859982714,33.844789356984485,587,848,eval_at,1.202113455533981,10,0,72.5
0.5021607605877269,33.246119733924616,581,833,eval_at,1.2393521833419798,10,0,73.0
0.4969749351771824,32.966740576496676,575,826,eval_at,1.2776343315839767,10,0,73.5
0.49351771823681934,32.328159645232816,571,810,eval_at,1.317822942733765,10,0,74.0
0.4891961970613656,31.72949002217295,566,795,eval_at,1.3548711466789245,10,0,74.5
0.4840103716508211,31.29046563192905,560,784,eval_at,1.4005345106124878,10,0,75.0
0.4822817631806396,30.6119733924612,558,767,eval_at,1.4423832762241364,10,0,75.5
0.4840103716508211,30.172949002217297,560,756,eval_at,1.4790810155868528,10,0,76.0
0.4840103716508211,29.494456762749447,560,739,eval_at,1.5202893555164336,10,0,76.5
0.4840103716508211,28.696230598669626,560,719,eval_at,1.5672527706623085,10,0,77.0
0.4822817631806396,28.017738359201775,558,702,eval_at,1.615519770979881,10,0,77.5
0.4788245462402766,27.4589800443459,554,688,eval_at,1.6728794264793396,10,0,78.0
0.47796024200518583,26.620842572062088,553,667,eval_at,1.720953862071038,10,0,78.5
0.4727744165946413,25.982261640798228,547,651,eval_at,1.7735779082775112,10,0,79.0
0.4675885911840968,25.223946784922397,541,632,eval_at,1.8312276399135596,10,0,79.5
0.46672428694900603,24.38580931263858,540,611,eval_at,1.8976337671279913,10,0,80.0
0.46240276577355227,23.98669623059867,535,601,eval_at,1.9618938559293746,10,0,80.5
0.46153846153846156,23.18847006651885,534,581,eval_at,2.0312149810791036,10,0,81.0
0.4546240276577355,22.709534368070955,526,569,eval_at,2.099404579401016,10,0,81.5
0.45030250648228176,21.75166297117517,521,545,eval_at,2.172230558395386,10,0,82.0
0.445980985306828,20.953436807095347,516,525,eval_at,2.2583927631378122,10,0,82.5
0.4407951598962835,20.11529933481153,510,504,eval_at,2.3411515212058998,10,0,83.0
0.4347450302506482,19.67627494456763,503,493,eval_at,2.424887726306916,10,0,83.5
0.428694900605013,19.07760532150776,496,478,eval_at,2.507883157730101,10,0,84.0
0.4243733794295592,18.039911308203994,491,452,eval_at,2.6053979027271272,10,0,84.5
0.41832324978392393,17.20177383592018,484,431,eval_at,2.7001182079315194,10,0,85.0
0.4131374243733794,16.363636363636363,478,410,eval_at,2.801808326244354,10,0,85.5
0.40535868625756266,15.884700665188472,469,398,eval_at,2.9085505056381225,10,0,86.0
0.39671564390665515,15.086474501108649,459,378,eval_at,3.041408396959305,10,0,86.5
0.38720829732065687,14.328159645232818,448,359,eval_at,3.1563173484802216,10,0,87.0
0.37856525496974935,13.410199556541022,438,336,eval_at,3.302518367767334,10,0,87.5
0.37251512532411407,12.611973392461199,431,316,eval_at,3.4452850914001507,10,0,88.0
