species,n_folds,lr_raw,lr_z,lr_rank,mlp_raw,mlp_z,mlp_rank,dann_raw,dann_z,dann_rank,lr_wd,mlp_wd,dann_wd,ensemble_rank
Minke whale,4,0.9709150009053309,0.6419466317632088,0.5768911473859254,0.9716117973120931,0.6973258793168158,0.5875593200808915,0.9551280386263854,0.5965227538551633,0.5459894306735249,0.6717914455828378,0.7192583143199558,0.6030399517382898,0.584718131659453
Sperm whale,5,0.724154622816327,0.5830780284661946,0.557643837979328,0.701092323663508,0.5626732626297536,0.5465812282855215,0.7242989713096482,0.5781058556114692,0.5746904476405561,0.5736992484044254,0.5913887285421495,0.6072774376549649,0.5672612192739259
False killer whale,5,0.8806982462402928,0.6948437704297408,0.6253814010339126,0.8474179119277974,0.6826749108128723,0.609875746334715,0.9017009602996673,0.6781647226916317,0.6288485837326565,0.8906668558504045,0.8488509029007132,0.8849695626266838,0.634595574440269
Short-finned pilot whale,5,0.7984599442011013,0.6831907891162082,0.6933552248250967,0.7803634279908522,0.6105562620699934,0.635757208693209,0.7830958073671701,0.6606946439473431,0.6708425766036985,0.7985523387346862,0.7223048561023638,0.7675149678700902,0.6825194286228958
Rough-toothed dolphin,4,0.6370268917843733,0.5668057440111072,0.6118345031249423,0.7437766116743252,0.616508995080228,0.6231843204417418,0.6602243124961689,0.5769133276079395,0.5730036174195267,0.672032837801481,0.647281683733377,0.6725163918745618,0.6251719723448207
Offshore spotted dolphin,4,0.5080368063339927,0.6272422569417994,0.6668787579044128,0.6482261904344385,0.6119975451125759,0.6509338943625798,0.5191973943875129,0.5153550454625333,0.5327877884102707,0.6441722723348167,0.628707048105509,0.5143458848145764,0.637625226051651
Striped dolphin,4,0.7176992669103098,0.5880574590280421,0.5788378631856612,0.7721755350000896,0.7154863327970343,0.7446344047724879,0.7440598065118359,0.7046097702454418,0.7045275069268601,0.5380861798042464,0.6709321129809855,0.6741485699948288,0.7144548864599237
