N,seed,recall_at_fp10,fp_h,theta,skipped_folds
10,0,0.23163353500432152,9.858093126385807,5.170040655136108,0
10,1,0.2783059636992221,9.93791574279379,4.539290256500245,0
10,2,0.3777009507346586,10.25720620842572,3.7141609549522396,0
10,3,0.24632670700086431,10.217294900221727,4.806440906524659,0
10,4,0.2904062229904927,10.057649667405762,3.7732676792144764,0
30,0,0.41140881590319794,10.177383592017737,3.9756826162338257,0
30,1,0.34226447709593777,10.177383592017737,4.334598422050478,0
30,2,0.3388072601555748,9.778270509977824,4.679621963500976,0
30,3,0.2999135695764909,9.858093126385807,4.3374066543579115,0
30,4,0.34917891097666376,9.738359201773834,4.300941514968871,0
100,0,0.3707865168539326,10.057649667405762,4.328177192211151,0
100,1,0.3794295592048401,9.898004434589799,4.617768001556394,0
100,2,0.38547968885047534,9.898004434589799,4.128678817749024,0
100,3,0.3716508210890233,10.416851441241683,3.926819889545441,0
100,4,0.33707865168539325,9.778270509977824,4.433770842552191,0
300,0,0.39844425237683667,9.738359201773834,4.367945647239686,0
300,1,0.4399308556611927,10.137472283813745,3.9101046180725127,0
300,2,0.3759723422644771,9.778270509977824,4.496906166076661,0
300,3,0.428694900605013,10.057649667405762,3.838561890125274,0
300,4,0.40363007778738114,10.017738359201772,3.9860570335388186,0
1000,0,0.4338807260155575,9.778270509977824,4.15787353515625,0
1000,1,0.4338807260155575,9.778270509977824,4.15787353515625,0
1000,2,0.4338807260155575,9.778270509977824,4.15787353515625,0
1000,3,0.4338807260155575,9.778270509977824,4.15787353515625,0
1000,4,0.4338807260155575,9.778270509977824,4.15787353515625,0
all,0,0.4338807260155575,9.778270509977824,4.15787353515625,0
