encoder,score,tol,avg,P,R,F1,FP_h,n_species
Perch_2.0_win10,-kNN_z,15,macro,0.30075512584584585,0.19212228862577638,0.20422271164783273,41.93869847401941,7
Perch_2.0_win10,-kNN_z,15,micro,0.6505910165484634,0.11831470335339639,0.20021826118588576,20.954631379962194,7
Perch_2.0_win10,-kNN_z,20,macro,0.3457856622485198,0.23235002637006238,0.24498989753380992,39.23781698069431,7
Perch_2.0_win10,-kNN_z,20,micro,0.6969267139479906,0.12674118658641445,0.21447799199708986,18.175803402646505,7
Perch_2.0_win10,-Mahalanobis_z,15,macro,0.2507659543677656,0.14260365371622163,0.15464784779612176,44.93743360981076,7
Perch_2.0_win10,-Mahalanobis_z,15,micro,0.6430260047281324,0.11693895098882201,0.19789014186977083,21.408317580340267,7
Perch_2.0_win10,-Mahalanobis_z,20,macro,0.30248930012139313,0.1890592565419671,0.20169633512727111,41.835263170380024,7
Perch_2.0_win10,-Mahalanobis_z,20,micro,0.6955082742316785,0.12648323301805675,0.2140414696253183,18.26086956521739,7
Perch_2.0_win10,-CCED2_z,15,macro,0.25986757237206665,0.15151649786320934,0.1635834627778163,44.39161614450427,7
Perch_2.0_win10,-CCED2_z,15,micro,0.6463356973995272,0.1175408426483233,0.1989086940705711,21.20982986767486,7
Perch_2.0_win10,-CCED2_z,20,macro,0.29915288486130737,0.1858148980859416,0.1984417548282437,42.03544808598517,7
Perch_2.0_win10,-CCED2_z,20,micro,0.6931442080378251,0.12605331040412726,0.21331393233903237,18.402646502835537,7
