species,best_condition,best_auc,lr_raw_baseline,delta_vs_paper,wd_AUC_ceiling
Minke whale,mlp_raw,0.9656384988693644,0.9632165128311373,0.0024219860382270753,0.7085493364612413
Sperm whale,lr_raw,0.7145175711048585,0.7145175711048585,0.0,0.6722143018072136
False killer whale,dann_raw,0.9336998609761131,0.8248594765087726,0.10884038446734057,0.8547797690607624
Short-finned pilot whale,dann_raw,0.7890265328805655,0.7825910768259441,0.006435456054621369,0.7962340631968015
Rough-toothed dolphin,mlp_raw,0.6138280744832391,0.33811279121074206,0.275715283272497,0.7332849070983501
Offshore spotted dolphin,dann_rank,0.6688956874695096,0.3811718202107627,0.2877238672587469,0.6386532407817332
Striped dolphin,mlp_raw,0.7666687293406562,0.6860860218884772,0.08058270745217899,0.7618903637756957
