species,n_folds,lr_raw,lr_z,lr_rank,mlp_raw,mlp_z,mlp_rank,dann_raw,dann_z,dann_rank,lr_wd,mlp_wd,dann_wd,ensemble_rank
Minke whale,3,0.9632165128311373,0.670515537475273,0.5891135448800657,0.9656384988693644,0.711723762231364,0.5996087667602322,0.9090995737625867,0.5698714699116674,0.5392937071458117,0.671835357351767,0.7085493364612413,0.582719164515312,0.5900642878224658
Sperm whale,5,0.7145175711048585,0.592048586213639,0.5639281208566354,0.7055851427319343,0.5596474709974972,0.5690466834974798,0.6508862460703735,0.5714409924624787,0.5690595839130751,0.6147391763557013,0.6722143018072136,0.6322328725057133,0.5748096335263
False killer whale,5,0.8248594765087726,0.6597959265205309,0.6056436237198166,0.8783523474859745,0.6289420808547901,0.6261546214298812,0.9336998609761131,0.6948902321232338,0.6448395272375365,0.7933144634690165,0.8170851468509884,0.8547797690607624,0.6373914857606969
Short-finned pilot whale,5,0.7825910768259441,0.6534878415470253,0.6693023708287296,0.7199113486000472,0.5948561256399886,0.6022992454142946,0.7890265328805655,0.679406643507493,0.6866510569883547,0.7681499948672307,0.6810934872364726,0.7962340631968015,0.6651894614381758
Rough-toothed dolphin,3,0.33811279121074206,0.5245719278186277,0.5674972715152325,0.6138280744832391,0.5000045248982872,0.568744184565022,0.5660911706897008,0.594870793235345,0.5985919003774872,0.6299424840621036,0.6341376926706803,0.7332849070983501,0.5869769552101874
Offshore spotted dolphin,5,0.3811718202107627,0.5117700457047152,0.5642810751901566,0.5427368369467256,0.3767529803170061,0.42218792208657174,0.5123760312427535,0.6398694235305478,0.6688956874695096,0.5056508663489969,0.3962277566247755,0.6386532407817332,0.5685010820446894
Striped dolphin,4,0.6860860218884772,0.6630151374783695,0.6518562911249184,0.7666687293406562,0.7268288000575499,0.7440922834719449,0.7120474913601009,0.5858722420597698,0.5623218248034018,0.6352854065044248,0.7618903637756957,0.5996157889043298,0.6763127855975803
