score,tol_sec,target_FP_per_hour,method,Recall_at_target,fp0,r0,theta0,q0,fp1,r1,theta1,q1
kNN_z,10.0,10.0,interp,0.07710234002362171,6.374164810690424,0.04062229904923023,0.2384185791015625,0.9854381587725151,10.583518930957684,0.08297320656864048,-0.2384185791015625,0.0208
Mahalanobis_z,10.0,10.0,interp,0.04886450465342187,7.015590200445435,0.0354364736386902,0.6357828974723816,0.9943018679119413,11.625835189309578,0.05617977528085032,-0.476837158203125,0.03136
CCED2_z,10.0,10.0,interp,0.07221876995309692,1.6837416481069043,0.014693171996530084,-0.6357828974723816,0.00859,18.801781737193764,0.13310285220386076,-0.5381288528442383,0.03334
