encoder,score,tail_high_Recall,tail_high_FPh,tail_low_Recall,tail_low_FPh
BEATs+DAPT_fulldata,kNN_z,0.05185825410544512,10.057649667405762,0.06482281763180639,9.618625277161861
BEATs+DAPT_fulldata,Mahalanobis_z,0.07778738115816768,10.097560975609754,0.05358686257562662,10.29711751662971
BEATs+DAPT_fulldata,CCED2_z,0.07433016421780467,9.778270509977824,0.07000864304235091,10.177383592017737
BEATs+DAPT_dapt_b_3ep,kNN_z,0.06309420916162489,9.738359201773834,0.06741573033707865,9.93791574279379
BEATs+DAPT_dapt_b_3ep,Mahalanobis_z,0.08729472774416594,10.217294900221727,0.06741573033707865,9.818181818181817
BEATs+DAPT_dapt_b_3ep,CCED2_z,0.07692307692307693,10.097560975609754,0.07951598962834917,9.858093126385807
BEATs+DAPT_continual_palaoa,kNN_z,0.05012964563526361,10.057649667405762,0.06482281763180639,9.698447893569842
BEATs+DAPT_continual_palaoa,Mahalanobis_z,0.07778738115816768,10.017738359201772,0.05358686257562662,10.25720620842572
BEATs+DAPT_continual_palaoa,CCED2_z,0.07260155574762317,9.898004434589799,0.07000864304235091,10.177383592017737
Perch 2.0,kNN_z,0.0898876404494382,9.858093126385807,0.056179775280898875,10.057649667405762
Perch 2.0,Mahalanobis_z,0.08124459809853068,10.3370288248337,0.05012964563526361,9.97782705099778
Perch 2.0,CCED2_z,0.08383751080380294,10.3370288248337,0.059636992221261884,10.3370288248337
