fp_h_target,recall,precision,note
1,,,out of range
5,0.21228272351867858,0.6623538122645517,
10,0.3232497839239412,0.5989642541366679,
20,0.43646830350950216,0.5014960146314633,
50,,,out of range
100,,,out of range
