evaluator,return,th,hr,alpha,pctl
eval_at,"[0.052722558340535866, 21.79157427937916, 61, 546]",0.3628550405946421,25.055555555555554,0.0,70.0
eval_at,"[0.052722558340535866, 21.75166297117517, 61, 545]",0.36523833840496017,25.055555555555554,0.0,70.1
eval_at,"[0.05185825410544512, 21.352549889135258, 60, 535]",0.36760685591502806,25.055555555555554,0.0,70.19999999999999
eval_at,"[0.05185825410544512, 21.392461197339248, 60, 536]",0.3705200874385162,25.055555555555554,0.0,70.29999999999998
eval_at,"[0.05099394987035436, 21.312638580931267, 59, 534]",0.3740505966202909,25.055555555555554,0.0,70.39999999999998
eval_at,"[0.05185825410544512, 21.11308203991131, 60, 529]",0.3773201840462547,25.055555555555554,0.0,70.49999999999997
eval_at,"[0.05185825410544512, 20.953436807095347, 60, 525]",0.38050529976816067,25.055555555555554,0.0,70.59999999999997
eval_at,"[0.05012964563526361, 20.953436807095347, 58, 525]",0.3832493583748115,25.055555555555554,0.0,70.69999999999996
eval_at,"[0.049265341400172864, 21.11308203991131, 57, 529]",0.38595742962606294,25.055555555555554,0.0,70.79999999999995
eval_at,"[0.049265341400172864, 20.953436807095347, 57, 525]",0.38924878335081053,25.055555555555554,0.0,70.89999999999995
eval_at,"[0.049265341400172864, 20.793791574279382, 57, 521]",0.3917105219826255,25.055555555555554,0.0,70.99999999999994
eval_at,"[0.049265341400172864, 20.753880266075388, 57, 520]",0.39477263455196027,25.055555555555554,0.0,71.09999999999994
eval_at,"[0.04840103716508211, 20.554323725055433, 56, 515]",0.397704776060882,25.055555555555554,0.0,71.19999999999993
eval_at,"[0.05012964563526361, 20.474501108647452, 58, 513]",0.40039562242868065,25.055555555555554,0.0,71.29999999999993
eval_at,"[0.04840103716508211, 20.354767184035477, 56, 510]",0.403749831696128,25.055555555555554,0.0,71.39999999999992
eval_at,"[0.04840103716508211, 19.835920177383592, 56, 497]",0.40692020738863555,25.055555555555554,0.0,71.49999999999991
eval_at,"[0.04753673292999136, 19.75609756097561, 55, 495]",0.4094996846715286,25.055555555555554,0.0,71.59999999999991
eval_at,"[0.04753673292999136, 19.516629711751666, 55, 489]",0.413046523095791,25.055555555555554,0.0,71.6999999999999
eval_at,"[0.04753673292999136, 19.43680709534368, 55, 487]",0.4161642542137944,25.055555555555554,0.0,71.7999999999999
eval_at,"[0.04753673292999136, 19.117516629711755, 55, 479]",0.4188456613105412,25.055555555555554,0.0,71.89999999999989
