species,canon,event_center,label
36,1705_20170901_015741,6.5,1
36,1705_20170901_015741,8.5,1
61,1705_20170827_200635,0.5,1
61,1705_20170827_200635,2.5,1
61,1705_20170901_013041,4.5,1
61,1705_20170901_013041,6.5,1
61,1705_20171106_195253,6.5,1
61,1705_20171106_195253,8.5,1
