evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.46672428694900603, 43.383592017738366, 540, 1087, 617, 1627]",0.06295415014028549,25.055555555555554,10,0,50.0
eval_at,"[0.4693171996542783, 43.18403547671841, 543, 1082, 614, 1625]",0.0816119724884629,25.055555555555554,10,0,50.5
eval_at,"[0.47191011235955055, 43.18403547671841, 546, 1082, 611, 1628]",0.10168428711593154,25.055555555555554,10,0,51.0
eval_at,"[0.4710458081244598, 43.18403547671841, 545, 1082, 612, 1627]",0.12106275893747813,25.055555555555554,10,0,51.5
eval_at,"[0.4727744165946413, 42.94456762749446, 547, 1076, 610, 1623]",0.14122978389263147,25.055555555555554,10,0,52.0
eval_at,"[0.47191011235955055, 42.90465631929047, 546, 1075, 611, 1621]",0.16235319823026678,25.055555555555554,10,0,52.5
eval_at,"[0.4727744165946413, 43.30376940133038, 547, 1085, 610, 1632]",0.18056390523910565,25.055555555555554,10,0,53.0
eval_at,"[0.47191011235955055, 42.98447893569845, 546, 1077, 611, 1623]",0.20319461025297644,25.055555555555554,10,0,53.5
eval_at,"[0.4693171996542783, 43.104212860310426, 543, 1080, 614, 1623]",0.22622157365083714,25.055555555555554,10,0,54.0
eval_at,"[0.4710458081244598, 42.98447893569845, 545, 1077, 612, 1622]",0.24632029458880436,25.055555555555554,10,0,54.5
eval_at,"[0.4727744165946413, 43.144124168514416, 547, 1081, 610, 1628]",0.26473418623209,25.055555555555554,10,0,55.0
eval_at,"[0.47450302506482284, 42.784922394678496, 549, 1072, 608, 1621]",0.28403406798839625,25.055555555555554,10,0,55.5
eval_at,"[0.47191011235955055, 42.784922394678496, 546, 1072, 611, 1618]",0.3046322405338288,25.055555555555554,10,0,56.0
eval_at,"[0.47536732929991354, 42.824833702882486, 550, 1073, 607, 1623]",0.3252877838909624,25.055555555555554,10,0,56.5
eval_at,"[0.47796024200518583, 42.94456762749446, 553, 1076, 604, 1629]",0.3462539464235298,25.055555555555554,10,0,57.0
eval_at,"[0.4848746758859118, 42.625277161862535, 561, 1068, 596, 1629]",0.3677580699324606,25.055555555555554,10,0,57.5
eval_at,"[0.4848746758859118, 42.385809312638585, 561, 1062, 596, 1623]",0.3917370629310607,25.055555555555554,10,0,58.0
eval_at,"[0.49178910976663787, 42.58536585365854, 569, 1067, 588, 1636]",0.4147378516197203,25.055555555555554,10,0,58.5
eval_at,"[0.49178910976663787, 42.54545454545455, 569, 1066, 588, 1635]",0.43703730672597885,25.055555555555554,10,0,59.0
eval_at,"[0.49351771823681934, 41.986696230598675, 571, 1052, 586, 1623]",0.4594850715994835,25.055555555555554,10,0,59.5
eval_at,"[0.49351771823681934, 41.866962305986696, 571, 1049, 586, 1620]",0.48268771171569813,25.055555555555554,10,0,60.0
eval_at,"[0.4909248055315471, 42.146341463414636, 568, 1056, 589, 1624]",0.5054418578743934,25.055555555555554,10,0,60.5
eval_at,"[0.49265341400172863, 41.866962305986696, 570, 1049, 587, 1619]",0.5280231994390487,25.055555555555554,10,0,61.0
eval_at,"[0.4909248055315471, 41.707317073170735, 568, 1045, 589, 1613]",0.5494609755277632,25.055555555555554,10,0,61.5
eval_at,"[0.4969749351771824, 41.507760532150776, 575, 1040, 582, 1615]",0.5734718143939972,25.055555555555554,10,0,62.0
eval_at,"[0.49524632670700086, 41.068736141906875, 573, 1029, 584, 1602]",0.5973777398467064,25.055555555555554,10,0,62.5
eval_at,"[0.49351771823681934, 40.54988913525499, 571, 1016, 586, 1587]",0.6213765364885327,25.055555555555554,10,0,63.0
eval_at,"[0.49265341400172863, 40.310421286031044, 570, 1010, 587, 1580]",0.6450469446182254,25.055555555555554,10,0,63.5
eval_at,"[0.49265341400172863, 39.671840354767184, 570, 994, 587, 1564]",0.6722620105743409,25.055555555555554,10,0,64.0
eval_at,"[0.49178910976663787, 39.312638580931264, 569, 985, 588, 1554]",0.7006805753707885,25.055555555555554,10,0,64.5
eval_at,"[0.4943820224719101, 39.03325942350333, 572, 978, 585, 1550]",0.7267949700355538,25.055555555555554,10,0,65.0
