encoder,score,Recall,FP_h,TP,FP,theta,pctl
OceanBEATs_stage2,kNN_z,0.03457216940363008,10.616407982261642,40,266,2.0840449726581562,96.5
OceanBEATs_stage2,Mahalanobis_z,0.02679343128781331,10.057649667405766,31,252,2.227284536361694,96.0
OceanBEATs_stage2,CCED2_z,0.02679343128781331,10.416851441241686,31,261,2.2125669479370127,96.0
Perch 2.0,kNN_z,0.07605877268798616,9.578713968957873,88,240,3.1085978257656106,93.5
Perch 2.0,Mahalanobis_z,0.06309420916162489,9.53880266075388,73,239,3.980320152044297,93.5
Perch 2.0,CCED2_z,0.07260155574762317,10.416851441241686,84,261,3.4886963462829588,93.0
