evaluator,return,th,hr,enc_name,sname
eval_at,"[0.2627484874675886, 49.9689578713969, 304, 1252]",-0.014800477772951126,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.26534140017286084, 49.9689578713969, 307, 1252]",0.0035734974220395055,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2610198789974071, 49.929046563192905, 302, 1251]",0.024136356785893494,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2610198789974071, 50.00886917960089, 302, 1253]",0.042426807805895826,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2627484874675886, 49.490022172949004, 304, 1240]",0.061849476397037494,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.25929127052722556, 49.21064301552107, 300, 1233]",0.08158699739724419,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2566983578219533, 48.77161862527716, 297, 1222]",0.09938832052052031,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2575626620570441, 48.97117516629712, 298, 1227]",0.11659009467810393,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.25237683664649957, 48.93126385809313, 292, 1226]",0.13399135529994965,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2515125324114088, 48.89135254988914, 291, 1225]",0.1545729923248291,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2497839239412273, 49.01108647450111, 289, 1228]",0.17164188623428364,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2445980985306828, 48.97117516629712, 283, 1227]",0.18863095328211812,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24891961970613655, 49.01108647450111, 288, 1228]",0.20675551235675815,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.25237683664649957, 48.6119733924612, 292, 1218]",0.22719173714518542,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24891961970613655, 48.49223946784923, 288, 1215]",0.24343547359108916,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24632670700086431, 48.13303769401331, 285, 1206]",0.2653264388442038,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24632670700086431, 48.25277161862528, 285, 1209]",0.28563637435436234,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24632670700086431, 48.29268292682927, 285, 1210]",0.3034631018340586,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.24546240276577355, 48.53215077605322, 284, 1216]",0.3237160727381706,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2428694900605013, 48.05321507760532, 281, 1204]",0.34200291410088535,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2411408815903198, 47.97339246119734, 279, 1202]",0.3607645094394682,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23768366464995677, 47.93348115299335, 275, 1201]",0.3783398370444775,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2394122731201383, 47.81374722838138, 277, 1198]",0.3971479353308677,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23768366464995677, 47.57427937915743, 275, 1192]",0.4127681940793991,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23336214347450301, 47.61419068736142, 270, 1193]",0.4310739278793335,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23249783923941228, 47.13525498891353, 269, 1181]",0.4497516080737114,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23076923076923078, 47.05543237250555, 267, 1179]",0.4677661380171776,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23076923076923078, 47.05543237250555, 267, 1179]",0.4847568225860599,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23422644770959378, 46.73614190687362, 271, 1171]",0.5023307776451111,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.23249783923941228, 47.01552106430156, 269, 1178]",0.5225663986802102,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.22817631806395852, 46.45676274944568, 264, 1164]",0.540197187662125,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.22558340535868626, 46.05764966740577, 261, 1154]",0.5594321292638779,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.22558340535868626, 45.8980044345898, 261, 1150]",0.5756086421012878,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.22212618841832324, 45.17960088691796, 257, 1132]",0.5949022525548936,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2143474503025065, 45.17960088691796, 248, 1132]",0.6128875434398652,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.21175453759723423, 45.17960088691796, 245, 1132]",0.6324564203619957,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.212618841832325, 44.82039911308205, 246, 1123]",0.6532648420333866,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.21607605877268798, 44.82039911308205, 250, 1123]",0.671236864924431,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.21002592912705273, 45.09977827050998, 243, 1130]",0.6899209308624266,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2065687121866897, 44.86031042128604, 239, 1124]",0.7092345306277268,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.2031114952463267, 44.34146341463415, 235, 1111]",0.727772182226181,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.20224719101123595, 43.70288248337029, 234, 1095]",0.7462126290798187,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.1979256698357822, 43.54323725055433, 229, 1091]",0.7620538365840903,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.19533275713050993, 43.26385809312639, 226, 1084]",0.7800593820214271,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.19014693171996544, 42.98447893569845, 220, 1077]",0.7983298993110655,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.18582541054451165, 42.505543237250556, 215, 1065]",0.8182538285851476,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.18496110630942092, 42.345898004434595, 214, 1061]",0.8362089037895198,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.1797752808988764, 42.22616407982262, 208, 1058]",0.855544059574604,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.17718236819360414, 42.026607538802665, 205, 1053]",0.8753635823726656,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.17372515125324114, 41.667405764966745, 201, 1044]",0.8948512893915176,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.1694036300777874, 41.388026607538805, 196, 1037]",0.9154594093561172,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.16681071737251513, 41.18847006651885, 193, 1032]",0.9342918914556507,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.16594641313742436, 40.709534368070955, 192, 1020]",0.9519113135337827,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.16508210890233363, 40.669623059866964, 191, 1019]",0.9680146706104279,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.1616248919619706, 40.54988913525499, 187, 1016]",0.987930873632431,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.15730337078651685, 39.91130820399113, 182, 1000]",1.006355893611908,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.15557476231633535, 39.631929046563194, 180, 993]",1.026059687137604,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.1547104580812446, 39.312638580931264, 179, 985]",1.0445601218938834,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.15384615384615385, 38.95343680709534, 178, 976]",1.0640388536453247,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.14866032843560933, 38.51441241685144, 172, 965]",1.085231002569199,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.14520311149524634, 37.87583148558759, 168, 949]",1.1072537899017343,25.055555555555554,OceanBEATs_stage2,kNN_z
eval_at,"[0.14088159031979255, 37.67627494456763, 163, 944]",1.125588345527649,25.055555555555554,OceanBEATs_stage2,kNN_z
