K,TP,FP,precision,recall
1,1,0,1.0,0.000864304235090752
5,5,0,1.0,0.00432152117545376
10,9,1,0.9,0.007778738115816767
25,23,2,0.92,0.019878997407087293
50,37,13,0.74,0.03197925669835782
100,77,23,0.77,0.0665514261019879
200,157,43,0.785,0.13569576490924806
500,354,146,0.708,0.3059636992221262
1591,569,1022,0.35763670647391577,0.49178910976663787
