pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
98,3.005697727203369,50.0,0.1126888357102871,0.5220397579948142,43.30376940133037,604,1085,1689
98,3.005697727203369,50.5,0.1364716307818889,0.5237683664649957,43.46341463414633,606,1089,1695
98,3.005697727203369,51.0,0.15598108872771266,0.5254969749351772,43.26385809312638,608,1084,1692
98,3.005697727203369,51.5,0.17689920403063308,0.5272255834053586,43.30376940133037,610,1085,1695
98,3.005697727203369,52.0,0.1971105712652206,0.5306828003457217,42.74501108647449,614,1071,1685
98,3.005697727203369,52.5,0.21920511089265368,0.5341400172860847,42.66518847006651,618,1069,1687
98,3.005697727203369,53.0,0.24245162338018425,0.5375972342264477,42.50554323725054,622,1065,1687
98,3.005697727203369,53.5,0.2663310308754444,0.5375972342264477,42.34589800443458,622,1061,1683
98,3.005697727203369,54.0,0.2914988309144984,0.5393258426966292,42.86474501108646,624,1074,1698
98,3.005697727203369,54.5,0.31505726248025917,0.5393258426966292,42.74501108647449,624,1071,1695
98,3.005697727203369,55.0,0.3389676302671434,0.5427830596369922,42.34589800443458,628,1061,1689
98,3.005697727203369,55.5,0.3645749361813069,0.5445116681071738,42.02660753880265,630,1053,1683
98,3.005697727203369,56.0,0.39140142560005203,0.5445116681071738,41.66740576496673,630,1044,1674
98,3.005697727203369,56.5,0.41504099562764146,0.5453759723422644,41.42793791574279,631,1038,1669
98,3.005697727203369,57.0,0.44056806743144966,0.5488331892826275,41.38802660753879,635,1037,1672
98,3.005697727203369,57.5,0.4665187224745748,0.5488331892826275,41.18847006651884,635,1032,1667
98,3.005697727203369,58.0,0.49211507201194743,0.550561797752809,41.22838137472283,637,1033,1670
98,3.005697727203369,58.5,0.5186520197987549,0.5496974935177182,40.82926829268292,636,1023,1659
98,3.005697727203369,59.0,0.5464034575223923,0.5514261019878998,40.470066518847,638,1014,1652
98,3.005697727203369,59.5,0.5741815111041066,0.5566119273984442,40.27050997782704,644,1009,1653
98,3.005697727203369,60.0,0.602006649971008,0.557476231633535,39.552106430155206,645,991,1636
98,3.005697727203369,60.5,0.6302199316024781,0.5592048401037165,39.31263858093126,647,985,1632
98,3.005697727203369,61.0,0.6561722189188003,0.5583405358686258,38.99334811529933,646,977,1623
98,3.005697727203369,61.5,0.6826673725247377,0.5617977528089888,39.272727272727266,650,984,1634
98,3.005697727203369,62.0,0.7107366490364079,0.560933448573898,38.99334811529933,649,977,1626
98,3.005697727203369,62.5,0.737912654876709,0.5626620570440796,38.79379157427937,651,972,1623
98,3.005697727203369,63.0,0.7680372673273086,0.5626620570440796,38.195121951219505,651,957,1608
98,3.005697727203369,63.5,0.7972364473342896,0.5617977528089888,38.075388026607534,650,954,1604
98,3.005697727203369,64.0,0.8321610045433045,0.560933448573898,37.995565410199546,649,952,1601
98,3.005697727203369,64.5,0.8608802255988119,0.5617977528089888,37.436807095343674,650,938,1588
98,3.005697727203369,65.0,0.8902365356683731,0.564390665514261,36.798226164079814,653,922,1575
98,3.005697727203369,65.5,0.9228596609830857,0.564390665514261,36.558758314855865,653,916,1569
98,3.005697727203369,66.0,0.9532556581497192,0.5652549697493517,36.399113082039904,654,912,1566
98,3.005697727203369,66.5,0.9844838508963588,0.5626620570440796,35.88026607538802,651,899,1550
98,3.005697727203369,67.0,1.0214711737632753,0.5600691443388073,35.40133037694012,648,887,1535
98,3.005697727203369,67.5,1.056541234254837,0.5592048401037165,34.72283813747228,647,870,1517
98,3.005697727203369,68.0,1.091493272781373,0.5583405358686258,34.28381374722837,646,859,1505
98,3.005697727203369,68.5,1.1286953216791158,0.5592048401037165,34.24390243902438,647,858,1505
98,3.005697727203369,69.0,1.1658565902709959,0.5583405358686258,33.76496674057649,646,846,1492
