species,strat_n_pos,strat_n_neg,strat_n_unique_groups,strat_auc_mean,strat_auc_std,strat_f1_mean,strat_f1_std,strat_p_mean,strat_r_mean,strat_n_folds_used,strat_median_train_groups,strat_median_test_groups,group_n_pos,group_n_neg,group_n_unique_groups,group_auc_mean,group_auc_std,group_f1_mean,group_f1_std,group_p_mean,group_r_mean,group_n_folds_used,group_median_train_groups,group_median_test_groups
Minke whale,1094,1922,48,0.9772425968875638,0.002228817366814372,0.8834996337969384,0.008067856255496829,0.870568543030615,0.8975954086548532,5,47,37,1094,1922,48,0.9249871762754697,0.044191817518811384,0.7707933894239164,0.14111772357261135,0.826950886979111,0.7834530962669329,4,39,9
Sperm whale,1375,1922,48,0.9187005116096026,0.015154259682240817,0.8108614465741487,0.02258227594606663,0.8182107063577476,0.8043636363636363,5,47,40,1375,1922,48,0.6387927023660708,0.1644359475472635,0.4777526166407301,0.24084284182675955,0.6148092728359662,0.415243232044065,5,38,10
False killer whale,753,1922,48,0.9891481544393796,0.0029521145912321293,0.9066894984962184,0.012073221711048335,0.9176118608555959,0.8964061810154526,5,48,38,753,1922,48,0.7807522937396625,0.13413428612685338,0.4255035069539616,0.3384609684720434,0.7033172819689674,0.42212499891322935,5,39,9
Short-finned pilot whale,234,1922,48,0.9958552524217996,0.004587128161839016,0.9353882911789462,0.03560322270063779,0.9361757772937895,0.9356151711378354,5,47,37,234,1922,48,0.7711310982017748,0.07178969434048593,0.0,0.0,0.0,0.0,3,39,9
Rough-toothed dolphin,105,1922,48,0.9839583977530406,0.01410232299793409,0.7482489581198333,0.058641678072938574,0.8423809523809525,0.6857142857142857,5,47,37,105,1922,48,0.7779565886710531,0.21611287043763497,0.09777777777777778,0.15498307354811286,0.317948717948718,0.060587639311043565,5,39,9
Offshore spotted dolphin,123,1922,48,0.961730248917749,0.01962046718269714,0.5449603174603175,0.1089353006277217,0.8719251336898395,0.40666666666666673,5,47,38,123,1922,48,0.4477177253581532,0.19064264040858875,0.02222222222222222,0.04444444444444444,0.01818181818181818,0.02857142857142857,5,38,10
Striped dolphin,261,1922,48,0.9660837869873837,0.005341495268936232,0.7035967935073199,0.039738079689893686,0.8776056876245655,0.5900580551523948,5,46,37,261,1922,48,0.6621957156106284,0.29686632737883084,0.31343880705582833,0.3992869268513082,0.2979814970563499,0.33559322033898303,5,38,10
