mode,Recall,FP_h,TP,FP,theta
Quiet (CCED2),0.036300777873811585,9.818181818181818,42.0,246.0,2.249312744140625
"Promoter (supervised LogReg, 5-fold OOF)",0.4364736387208297,10.017738359201775,505.0,251.0,4.612645578384398
Union (Quiet ∪ Promoter),0.2990492653414002,10.097560975609756,346.0,253.0,q=2.675/p=7.768
