pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
98,2.6745355892181393,50.0,0.10904895886778831,0.5177182368193605,53.76053215077606,599,1347,1946
98,2.6745355892181393,50.5,0.1301919303089378,0.5203111495246326,53.36141906873615,602,1337,1939
98,2.6745355892181393,51.0,0.15375760108232508,0.5203111495246326,53.68070953436808,602,1345,1947
98,2.6745355892181393,51.5,0.17413908205926418,0.5229040622299049,53.5609756097561,605,1342,1947
98,2.6745355892181393,52.0,0.1974159896373749,0.5220397579948142,53.96008869179601,604,1352,1956
98,2.6745355892181393,52.5,0.21588158383965503,0.5220397579948142,54.19955654101996,604,1358,1962
98,2.6745355892181393,53.0,0.23861214056611066,0.526361279170268,53.84035476718404,609,1349,1958
98,2.6745355892181393,53.5,0.26185544788837434,0.5280898876404494,53.64079822616409,611,1344,1955
98,2.6745355892181393,54.0,0.2824584150314332,0.5306828003457217,53.68070953436808,614,1345,1959
98,2.6745355892181393,54.5,0.3039244891703129,0.5350043215211755,53.44124168514413,619,1339,1958
98,2.6745355892181393,55.0,0.3262671649456025,0.5375972342264477,53.76053215077606,622,1347,1969
98,2.6745355892181393,55.5,0.3467662724852562,0.5393258426966292,53.5609756097561,624,1342,1966
98,2.6745355892181393,56.0,0.3696902775764466,0.5419187554019015,53.48115299334812,627,1340,1967
98,2.6745355892181393,56.5,0.39403564170002897,0.5427830596369922,53.1219512195122,628,1331,1959
98,2.6745355892181393,57.0,0.4158895432949063,0.5453759723422644,53.241685144124176,631,1334,1965
98,2.6745355892181393,57.5,0.4408461287617683,0.5427830596369922,52.922394678492246,628,1326,1954
98,2.6745355892181393,58.0,0.4636224222183222,0.547104580812446,52.72283813747229,633,1321,1954
98,2.6745355892181393,58.5,0.4862138393521306,0.547104580812446,52.00443458980045,633,1303,1936
98,2.6745355892181393,59.0,0.5100289094448089,0.550561797752809,52.04434589800444,637,1304,1941
98,2.6745355892181393,59.5,0.53369487285614,0.5522904062229905,52.04434589800444,639,1304,1943
98,2.6745355892181393,60.0,0.5609069585800168,0.5531547104580813,51.804878048780495,640,1298,1938
98,2.6745355892181393,60.5,0.5843599221110344,0.5514261019878998,51.605321507760536,638,1293,1931
98,2.6745355892181393,61.0,0.6091355311870574,0.5557476231633535,51.126385809312644,643,1281,1924
98,2.6745355892181393,61.5,0.6337484446167945,0.5566119273984442,50.647450110864746,644,1269,1913
98,2.6745355892181393,62.0,0.6624158799648286,0.5566119273984442,50.607538802660756,644,1268,1912
98,2.6745355892181393,62.5,0.6881835907697678,0.5566119273984442,50.447893569844794,644,1264,1908
98,2.6745355892181393,63.0,0.7135676008462906,0.5557476231633535,50.208425720620845,643,1258,1901
98,2.6745355892181393,63.5,0.7418914434313776,0.5566119273984442,49.64966740576497,644,1244,1888
98,2.6745355892181393,64.0,0.7703533840179444,0.5548833189282627,49.01108647450111,642,1228,1870
98,2.6745355892181393,64.5,0.8025784644484519,0.5531547104580813,48.77161862527716,640,1222,1862
98,2.6745355892181393,65.0,0.8315627306699753,0.5548833189282627,48.49223946784923,642,1215,1857
98,2.6745355892181393,65.5,0.8658838188648225,0.5566119273984442,47.73392461197339,644,1196,1840
98,2.6745355892181393,66.0,0.8965475130081176,0.557476231633535,47.13525498891353,645,1181,1826
98,2.6745355892181393,66.5,0.9232272216677666,0.5566119273984442,46.57649667405765,644,1167,1811
