Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.13223854796888504,36.55875831485588,153,916,eval_at,1.1654541015625006,80.0,,,,
0.12791702679343128,36.0,148,902,eval_at,1.1878965318202972,80.5,,,,
0.12705272255834055,35.48115299334812,147,889,eval_at,1.2107164311408998,81.0,,,,
0.12618841832324978,35.16186252771619,146,881,eval_at,1.2324149936437603,81.5,,,,
0.12013828867761452,34.48337028824834,139,864,eval_at,1.2558748292922974,82.0,,,,
0.11408815903197926,34.40354767184036,132,862,eval_at,1.2790300995111463,82.5,,,,
0.11581676750216076,33.605321507760536,134,842,eval_at,1.3005474627017972,83.0,,,,
0.1097666378565255,33.246119733924616,127,833,eval_at,1.3261473649740223,83.5,,,,
0.1097666378565255,32.407982261640804,127,812,eval_at,1.347714710235595,84.0,,,,
0.1063094209161625,32.008869179600886,123,802,eval_at,1.3749258643388744,84.5,,,,
0.10544511668107173,31.170731707317074,122,781,eval_at,1.398387771844864,85.0,,,,
0.09939498703543648,30.93126385809313,115,775,eval_at,1.4250592201948165,85.5,,,,
0.09593777009507347,30.212860310421288,111,757,eval_at,1.4500080490112304,86.0,,,,
0.09507346585998272,29.414634146341466,110,737,eval_at,1.474623579978943,86.5,,,,
0.09420916162489196,28.8159645232816,109,722,eval_at,1.4978529095649715,87.0,,,,
0.09161624891961971,28.13747228381375,106,705,eval_at,1.5217872112989426,87.5,,,,
0.08902333621434745,27.339246119733925,103,685,eval_at,1.5473338317871097,88.0,,,,
0.08729472774416594,26.38137472283814,101,661,eval_at,1.578168326616287,88.5,,,,
0.08383751080380294,25.423503325942352,97,637,eval_at,1.6027157175540925,89.0,,,,
0.08297320656871218,24.66518847006652,96,618,eval_at,1.632440097332001,89.5,,,,
0.07865168539325842,23.787139689578716,91,596,eval_at,1.6607414126396178,90.0,,,,
0.07519446845289542,22.669623059866964,87,568,eval_at,1.6940641063451771,90.5,,,,
0.07260155574762317,21.192904656319293,84,531,eval_at,1.7271685922145856,91.0,,,,
0.07260155574762317,20.394678492239468,84,511,eval_at,1.7613861387968062,91.5,,,,
0.07000864304235091,19.3569844789357,81,485,eval_at,1.8021569061279297,92.0,,,,
0.0682800345721694,18.23946784922395,79,457,eval_at,1.8437753766775131,92.5,,,,
0.06309420916162489,16.962305986696233,73,425,eval_at,1.8878949427604674,93.0,,,,
0.05790838375108038,15.764966740576497,67,395,eval_at,1.9328677093982698,93.5,,,,
0.052722558340535866,14.607538802660756,61,366,eval_at,1.9831115412712097,94.0,,,,
0.046672428694900604,13.450110864745012,54,337,eval_at,2.0392497301101686,94.5,,,,
0.04840103716508211,12.252771618625278,56,307,eval_at,2.102546548843381,95.0,,,,
0.04062229904926534,11.21507760532151,47,281,eval_at,2.163848762512206,95.5,,,,
0.036300777873811585,9.818181818181818,42,246,eval_at,2.249312744140625,96.0,,,,
0.027657735522904063,8.700665188470067,32,218,eval_at,2.325567556619643,96.5,,,,
0.027657735522904063,7.8625277161862535,32,197,eval_at,2.4292186498641963,97.0,,,,
