Recall,FP_h,TP,FP,evaluator,th,alpha,pctl
0.049265341400172864,16.084257206208427,57,403,eval_at,0.41558820636430954,0.0,70.0
0.049265341400172864,15.964523281596454,57,400,eval_at,0.4203068656684982,0.0,70.1
0.05012964563526361,16.084257206208427,58,403,eval_at,0.4255244876850884,0.0,70.19999999999999
0.05012964563526361,16.124168514412418,58,404,eval_at,0.42895647627160405,0.0,70.29999999999998
0.05012964563526361,16.084257206208427,58,403,eval_at,0.4336947790907851,0.0,70.39999999999998
0.05012964563526361,16.283813747228383,58,408,eval_at,0.4375834931093561,0.0,70.49999999999997
0.04840103716508211,16.403547671840357,56,411,eval_at,0.44208623203124836,0.0,70.59999999999997
0.04840103716508211,16.483370288248338,56,413,eval_at,0.44537958462797217,0.0,70.69999999999996
0.04840103716508211,16.243902439024392,56,407,eval_at,0.44947651153267787,0.0,70.79999999999995
0.04840103716508211,16.243902439024392,56,407,eval_at,0.4531551070233486,0.0,70.89999999999995
0.046672428694900604,16.124168514412418,54,404,eval_at,0.45771036742349586,0.0,70.99999999999994
0.045808124459809856,16.084257206208427,53,403,eval_at,0.4612793753034556,0.0,71.09999999999994
0.045808124459809856,15.964523281596454,53,400,eval_at,0.46676184888558364,0.0,71.19999999999993
0.046672428694900604,16.044345898004437,54,402,eval_at,0.4711492527646485,0.0,71.29999999999993
0.045808124459809856,16.044345898004437,53,402,eval_at,0.47562740896883615,0.0,71.39999999999992
0.045808124459809856,16.124168514412418,53,404,eval_at,0.4812525548156463,0.0,71.49999999999991
0.045808124459809856,16.004434589800443,53,401,eval_at,0.48570248075637934,0.0,71.59999999999991
0.045808124459809856,15.924611973392462,53,399,eval_at,0.4896446667506674,0.0,71.6999999999999
0.045808124459809856,16.044345898004437,53,402,eval_at,0.4950199420191521,0.0,71.7999999999999
0.046672428694900604,16.004434589800443,54,401,eval_at,0.49995443325318006,0.0,71.89999999999989
0.04753673292999136,16.164079822616408,55,405,eval_at,0.5040273989087831,0.0,71.99999999999989
0.04840103716508211,16.283813747228383,56,408,eval_at,0.5103225165578853,0.0,72.09999999999988
0.04840103716508211,16.203991130820402,56,406,eval_at,0.5166745603892863,0.0,72.19999999999987
0.04840103716508211,16.164079822616408,56,405,eval_at,0.5209503998340484,0.0,72.29999999999987
0.04840103716508211,16.243902439024392,56,407,eval_at,0.52483682988768,0.0,72.39999999999986
0.04840103716508211,15.924611973392462,56,399,eval_at,0.5294430684683875,0.0,72.49999999999986
0.04840103716508211,15.884700665188472,56,398,eval_at,0.5345130694186978,0.0,72.59999999999985
0.049265341400172864,15.84478935698448,57,397,eval_at,0.5386540925434149,0.0,72.69999999999985
0.04840103716508211,15.884700665188472,56,398,eval_at,0.5430989443788953,0.0,72.79999999999984
0.05012964563526361,15.80487804878049,58,396,eval_at,0.5488243033216741,0.0,72.89999999999984
0.05012964563526361,15.80487804878049,58,396,eval_at,0.5530528985235503,0.0,72.99999999999983
0.05012964563526361,15.964523281596454,58,400,eval_at,0.5579071691576724,0.0,73.09999999999982
0.049265341400172864,15.884700665188472,57,398,eval_at,0.5628981534756208,0.0,73.19999999999982
0.05012964563526361,15.605321507760534,58,391,eval_at,0.5673266411798787,0.0,73.29999999999981
0.05012964563526361,15.645232815964524,58,392,eval_at,0.5735486334602866,0.0,73.3999999999998
0.05012964563526361,15.80487804878049,58,396,eval_at,0.5790275503556976,0.0,73.4999999999998
0.052722558340535866,15.80487804878049,61,396,eval_at,0.5833689166744004,0.0,73.5999999999998
0.052722558340535866,15.924611973392462,61,399,eval_at,0.5882056686338433,0.0,73.69999999999979
0.052722558340535866,15.84478935698448,61,397,eval_at,0.5935586661844733,0.0,73.79999999999978
0.05185825410544512,15.964523281596454,60,400,eval_at,0.5982205599654716,0.0,73.89999999999978
0.05185825410544512,16.203991130820402,60,406,eval_at,0.6036874980699434,0.0,73.99999999999977
0.052722558340535866,15.924611973392462,61,399,eval_at,0.6087241744673572,0.0,74.09999999999977
