mode,Recall,FP_h,TP,FP,theta
Quiet (CCED2),0.02679343128781331,10.416851441241686,31.0,261.0,2.2125669479370127
"Promoter (supervised LogReg, 5-fold OOF)",0.3898012100259291,9.85809312638581,451.0,247.0,4.457726860046381
Union (Quiet ∪ Promoter),0.2757130509939499,10.137472283813748,319.0,254.0,q=2.664/p=7.794
