pctl,theta,Recall,FP_h,TP,FP,Pred
80.0,1.1662728786468513,0.15211754537597233,36.67849223946785,176,919,1095
80.5,1.186024841070175,0.14866032843560933,36.039911308204,172,903,1075
81.0,1.2080319392681123,0.14088159031979255,35.68070953436808,163,894,1057
81.5,1.2279230529069898,0.1365600691443388,35.48115299334812,158,889,1047
82.0,1.2480206346511842,0.12964563526361278,34.84257206208426,150,873,1023
82.5,1.2718469500541687,0.12618841832324978,33.924611973392466,146,850,996
83.0,1.2943889820575711,0.12445980985306827,33.44567627494457,144,838,982
83.5,1.316748681664467,0.12186689714779603,33.166297117516635,141,831,972
84.0,1.3409492492675779,0.12100259291270528,32.368070953436806,140,811,951
84.5,1.3630266964435573,0.12100259291270528,31.72949002217295,140,795,935
85.0,1.3865502655506134,0.11754537597234227,30.93126385809313,136,775,911
85.5,1.4116874527931202,0.11754537597234227,30.172949002217297,136,756,892
86.0,1.434107208251953,0.1132238547968885,29.21507760532151,131,732,863
86.5,1.4590434557199485,0.10803802938634399,28.416851441241686,125,712,837
87.0,1.481729142665863,0.10285220397579949,27.898004434589804,119,699,818
87.5,1.5102041065692902,0.09507346585998272,27.37915742793792,110,686,796
88.0,1.541447196006775,0.09075194468452895,26.66075388026608,105,668,773
88.5,1.568857163786888,0.08556611927398444,25.702882483370292,99,644,743
89.0,1.5965689289569855,0.08038029386343994,25.02439024390244,93,627,720
89.5,1.6273125475645067,0.07865168539325842,24.186252771618626,91,606,697
90.0,1.6598509430885315,0.07692307692307693,23.427937915742795,89,587,676
90.5,1.689049775004387,0.07260155574762317,22.629711751662974,84,567,651
91.0,1.7244821643829347,0.07000864304235091,21.552106430155213,81,540,621
91.5,1.7591171836853026,0.06568712186689715,20.793791574279382,76,521,597
92.0,1.7928772354125981,0.06395851339671564,19.995565410199557,74,501,575
92.5,1.8318495154380803,0.06136560069144339,19.277161862527716,71,483,554
93.0,1.870513677597046,0.056179775280898875,17.5609756097561,65,440,505
93.5,1.9158309245109562,0.052722558340535866,15.764966740576497,61,395,456
94.0,1.9673549151420593,0.046672428694900604,14.807095343680711,54,371,425
94.5,2.0164330983161927,0.03889369057908384,14.248337028824835,45,357,402
95.0,2.0753444194793698,0.03457216940363008,12.731707317073171,40,319,359
95.5,2.1405739367008207,0.03197925669835782,11.773835920177385,37,295,332
96.0,2.2125669479370127,0.02679343128781331,10.416851441241686,31,261,292
96.5,2.295258193016052,0.02592912705272256,9.259423503325943,30,232,262
97.0,2.389908382892608,0.020743301642178046,7.74279379157428,24,194,218
97.5,2.513600575923922,0.01728608470181504,6.465631929046563,20,162,182
98.0,2.663555364608762,0.012100259291270527,4.909090909090909,14,123,137
98.5,2.8430583703517915,0.01296456352636128,3.791574279379158,15,95,110
99.0,3.193984646797185,0.006050129645635264,2.6341463414634148,7,66,73
99.5,3.641213989257803,0.003457216940363008,1.5166297117516632,4,38,42
