species,lr_auc_mean,lr_auc_std_folds,mlp_auc_mean,mlp_auc_std_seeds,dann_auc_mean,dann_auc_std_seeds,delta_dann_minus_lr,delta_dann_minus_mlp,n_folds
Minke whale,0.9609452919815187,0.021461467158478444,0.9648709093837183,0.0010429963899533724,0.8930705220714614,0.03808515426553531,-0.06787476991005725,-0.07180038731225691,3
Sperm whale,0.6604339674560156,0.11746824596420079,0.707839673250923,0.015571317120181598,0.646563778789382,0.010493404464129118,-0.013870188666633587,-0.061275894461541025,5
False killer whale,0.7743422381369462,0.24425522098441965,0.8720067123630151,0.01578172786106232,0.9241990076442749,0.004466328671582251,0.14985676950732862,0.05219229528125979,5
Short-finned pilot whale,0.7173212658652706,0.11706969901358379,0.7166102122045682,0.004079240572574459,0.7788826271955438,0.02869595654004241,0.061561361330273234,0.06227241499097558,5
Rough-toothed dolphin,0.45730999481455087,0.19854000513144288,0.6156486977218641,0.023477690424220023,0.5231340559415393,0.04413544710253881,0.06582406112698841,-0.09251464178032487,3
Offshore spotted dolphin,0.4534610676097198,0.2221243236839904,0.4796506627785346,0.03326952019556926,0.5011847031135095,0.05851863509076871,0.04772363550378966,0.021534040334974913,5
Striped dolphin,0.7866752546458686,0.14952349314674473,0.7455715589785155,0.0354503399687445,0.6461642967801728,0.033677167171651985,-0.14051095786569578,-0.09940726219834262,4
