encoder,score,Recall,FP_h,TP,FP,theta,pctl
OceanBEATs_fixed_valref,kNN_z,0.03543647363872083,10.257206208425721,41,257,2.270799446105958,96.0
OceanBEATs_fixed_valref,Mahalanobis_z,0.036300777873811585,9.85809312638581,42,247,2.256752347946167,96.0
OceanBEATs_fixed_valref,CCED2_z,0.036300777873811585,9.818181818181818,42,246,2.249312744140625,96.0
Perch 2.0,kNN_z,0.07605877268798616,9.578713968957873,88,240,3.1085978257656106,93.5
Perch 2.0,Mahalanobis_z,0.06309420916162489,9.53880266075388,73,239,3.980320152044297,93.5
Perch 2.0,CCED2_z,0.07260155574762317,10.416851441241686,84,261,3.4886963462829588,93.0
