Recall,FP_h,TP,FP,evaluator,th,enc_name,sname
0.25929127052722556,51.246119733924616,300,1284,eval_at,-0.009905166923999786,OceanBEATs_fixed_valref,kNN_z
0.25842696629213485,51.36585365853659,299,1287,eval_at,0.008431050642393316,OceanBEATs_fixed_valref,kNN_z
0.2601555747623163,50.926829268292686,301,1276,eval_at,0.024764968771487705,OceanBEATs_fixed_valref,kNN_z
0.25929127052722556,50.926829268292686,300,1276,eval_at,0.042857667002827095,OceanBEATs_fixed_valref,kNN_z
0.2566983578219533,51.605321507760536,297,1293,eval_at,0.06199653625488277,OceanBEATs_fixed_valref,kNN_z
0.2541054451166811,51.36585365853659,294,1287,eval_at,0.08115200176835068,OceanBEATs_fixed_valref,kNN_z
0.2541054451166811,51.046563192904664,294,1279,eval_at,0.0990132327377797,OceanBEATs_fixed_valref,kNN_z
0.24891961970613655,50.767184035476724,288,1272,eval_at,0.11853508211672308,OceanBEATs_fixed_valref,kNN_z
0.24546240276577355,50.527716186252775,284,1266,eval_at,0.13648613035678864,OceanBEATs_fixed_valref,kNN_z
0.2428694900605013,50.168514412416854,281,1257,eval_at,0.153144908770919,OceanBEATs_fixed_valref,kNN_z
0.2394122731201383,49.889135254988915,277,1250,eval_at,0.1716686807572842,OceanBEATs_fixed_valref,kNN_z
0.23509075194468454,49.929046563192905,272,1251,eval_at,0.1916453601419927,OceanBEATs_fixed_valref,kNN_z
0.23336214347450301,49.68957871396896,270,1245,eval_at,0.20776755571365363,OceanBEATs_fixed_valref,kNN_z
0.23249783923941228,49.490022172949004,269,1240,eval_at,0.2271126800030469,OceanBEATs_fixed_valref,kNN_z
0.22904062229904926,49.450110864745014,265,1239,eval_at,0.24542111828923197,OceanBEATs_fixed_valref,kNN_z
0.22558340535868626,48.77161862527716,261,1222,eval_at,0.26348891779780376,OceanBEATs_fixed_valref,kNN_z
0.22731201382886776,48.45232815964523,263,1214,eval_at,0.28225147485733026,OceanBEATs_fixed_valref,kNN_z
0.226447709593777,48.1729490022173,262,1207,eval_at,0.30130083248019196,OceanBEATs_fixed_valref,kNN_z
0.22558340535868626,48.01330376940133,261,1203,eval_at,0.32194632172584536,OceanBEATs_fixed_valref,kNN_z
0.22990492653414002,47.33481152993348,266,1186,eval_at,0.3422398743033406,OceanBEATs_fixed_valref,kNN_z
0.23076923076923078,47.17516629711752,267,1182,eval_at,0.364355731010437,OceanBEATs_fixed_valref,kNN_z
0.22817631806395852,47.2549889135255,264,1184,eval_at,0.38542412683367727,OceanBEATs_fixed_valref,kNN_z
0.22731201382886776,47.21507760532151,263,1183,eval_at,0.40299200594425194,OceanBEATs_fixed_valref,kNN_z
0.226447709593777,46.97560975609756,262,1177,eval_at,0.42247089415788647,OceanBEATs_fixed_valref,kNN_z
0.22731201382886776,46.85587583148559,263,1174,eval_at,0.44125420212745675,OceanBEATs_fixed_valref,kNN_z
0.22212618841832324,46.69623059866963,257,1170,eval_at,0.4589541479945183,OceanBEATs_fixed_valref,kNN_z
0.22385479688850476,46.8159645232816,259,1173,eval_at,0.4798912703990934,OceanBEATs_fixed_valref,kNN_z
0.22039757994814174,46.69623059866963,255,1170,eval_at,0.5010619330406189,OceanBEATs_fixed_valref,kNN_z
0.219533275713051,46.13747228381375,254,1156,eval_at,0.5220861673355103,OceanBEATs_fixed_valref,kNN_z
0.2143474503025065,45.9379157427938,248,1151,eval_at,0.5398482057452202,OceanBEATs_fixed_valref,kNN_z
0.20916162489196197,45.49889135254989,242,1140,eval_at,0.556368774175644,OceanBEATs_fixed_valref,kNN_z
0.20397579948141745,45.25942350332595,236,1134,eval_at,0.5788755232095719,OceanBEATs_fixed_valref,kNN_z
0.20397579948141745,45.05986696230599,236,1129,eval_at,0.597545177936554,OceanBEATs_fixed_valref,kNN_z
0.20051858254105445,44.94013303769402,232,1126,eval_at,0.6175737550854686,OceanBEATs_fixed_valref,kNN_z
0.19706136560069146,44.46119733924613,228,1114,eval_at,0.6370304018259049,OceanBEATs_fixed_valref,kNN_z
0.19533275713050993,44.22172949002218,226,1108,eval_at,0.6556736811995507,OceanBEATs_fixed_valref,kNN_z
0.19360414866032843,43.82261640798227,224,1098,eval_at,0.6758191585540773,OceanBEATs_fixed_valref,kNN_z
0.19101123595505617,43.86252771618626,221,1099,eval_at,0.6945099729299545,OceanBEATs_fixed_valref,kNN_z
