mode,Recall,FP_h,TP,FP,theta
Quiet (CCED2),0.04062229904926534,9.778270509977828,47.0,245.0,2.163848762512206
"Promoter (supervised LogReg, 5-fold OOF)",0.4840103716508211,9.8980044345898,560.0,248.0,3.611596016883839
Union (Quiet ∪ Promoter),0.36646499567847884,10.017738359201775,424.0,251.0,q=2.675/p=5.945
